X1,X2,X3,X4,X5
627,642,661,662,662
642,661,662,662,670
661,662,662,670,671
662,662,670,671,681
662,670,671,681,670
670,671,681,670,671
671,681,670,671,671
681,670,671,671,676
670,671,671,676,684
671,671,676,684,681
671,676,684,681,679
676,684,681,679,667
684,681,679,667,667
681,679,667,667,682
679,667,667,682,681
667,667,682,681,678
667,682,681,678,660
682,681,678,660,660
681,678,660,660,660
678,660,660,660,662
660,660,660,662,646
660,660,662,646,648
660,662,646,648,644
662,646,648,644,637
646,648,644,637,637
648,644,637,637,636
644,637,637,636,639
637,637,636,639,635
637,636,639,635,634
636,639,635,634,631
639,635,634,631,631
635,634,631,631,615
634,631,631,615,617
631,631,615,617,610
631,615,617,610,608
615,617,610,608,601
617,610,608,601,601
610,608,601,601,594
608,601,601,594,587
601,601,594,587,585
601,594,587,585,567
594,587,585,567,556
587,585,567,556,556
585,567,556,556,556
567,556,556,556,573
556,556,556,573,665
556,556,573,665,518
556,573,665,518,513
573,665,518,513,510
665,518,513,510,498
518,513,510,498,494
513,510,498,494,492
510,498,494,492,492
498,494,492,492,493
494,492,492,493,483
492,492,493,483,483
492,493,483,483,491
493,483,483,491,489
483,483,491,489,489
483,491,489,489,487
491,489,489,487,494
489,489,487,494,503
489,487,494,503,513
487,494,503,513,527
494,503,513,527,527
503,513,527,527,529
513,527,527,529,546
527,527,529,546,541
527,529,546,541,560
529,546,541,560,548
546,541,560,548,548
541,560,548,548,570
560,548,548,570,590
548,548,570,590,587
548,570,590,587,591
570,590,587,591,612
590,587,591,612,612
587,591,612,612,607
591,612,612,607,615
612,612,607,615,620
612,607,615,620,640
607,615,620,640,653
615,620,640,653,653
620,640,653,653,650
640,653,653,650,664
653,653,650,664,677
653,650,664,677,693
650,664,677,693,710
664,677,693,710,711
677,693,710,711,703
693,710,711,703,718
710,711,703,718,720
711,703,718,720,731
703,718,720,731,728
718,720,731,728,728
720,731,728,728,727
731,728,728,727,708
728,728,727,708,701
728,727,708,701,690
727,708,701,690,684
708,701,690,684,684
701,690,684,684,648
690,684,684,648,646
684,684,648,646,621
684,648,646,621,626
648,646,621,626,629
646,621,626,629,629
621,626,629,629,623
626,629,629,623,622
629,629,623,622,632
629,623,622,632,638
623,622,632,638,643
622,632,638,643,643
632,638,643,643,657
638,643,643,657,669
643,643,657,669,674
643,657,669,674,684
657,669,674,684,694
669,674,684,694,694
674,684,694,694,699
684,694,694,699,720
694,694,699,720,734
694,699,720,734,744
699,720,734,744,759
720,734,744,759,759
734,744,759,759,770
744,759,759,770,787
759,759,770,787,797
759,770,787,797,812
770,787,797,812,830
787,797,812,830,830
797,812,830,830,846
812,830,830,846,856
830,830,846,856,847
830,846,856,847,866
846,856,847,866,869
856,847,866,869,869
847,866,869,869,864
866,869,869,864,865
869,869,864,865,887
869,864,865,887,895
864,865,887,895,895
865,887,895,895,895
887,895,895,895,895
895,895,895,895,897
895,895,895,897,899
895,895,897,899,894
895,897,899,894,904
897,899,894,904,904
899,894,904,904,902
894,904,904,902,902
904,904,902,902,895
904,902,902,895,893
902,902,895,893,888
902,895,893,888,888
895,893,888,888,881
893,888,888,881,880
888,888,881,880,879
888,881,880,879,876
881,880,879,876,874
880,879,876,874,874
879,876,874,874,883
876,874,874,883,900
874,874,883,900,910
874,883,900,910,931
883,900,910,931,956
900,910,931,956,956
910,931,956,956,988
931,956,956,988,1006
956,956,988,1006,1030
956,988,1006,1030,1055
988,1006,1030,1055,1078
1006,1030,1055,1078,1078
1030,1055,1078,1078,1091
1055,1078,1078,1091,1105
1078,1078,1091,1105,1112
1078,1091,1105,1112,1124
1091,1105,1112,1124,1122
1105,1112,1124,1122,1122
1112,1124,1122,1122,1111
1124,1122,1122,1111,1104
1122,1122,1111,1104,1090
1122,1111,1104,1090,1079
1111,1104,1090,1079,1058
1104,1090,1079,1058,1058
1090,1079,1058,1058,1033
1079,1058,1058,1033,1025
1058,1058,1033,1025,1020
1058,1033,1025,1020,1010
1033,1025,1020,1010,983
1025,1020,1010,983,983
1020,1010,983,983,937
1010,983,983,937,906
983,983,937,906,880
983,937,906,880,842
937,906,880,842,797
906,880,842,797,797
880,842,797,797,759
842,797,797,759,735
797,797,759,735,717
797,759,735,717,706
759,735,717,706,701
735,717,706,701,701
717,706,701,701,693
706,701,701,693,699
701,701,693,699,717
701,693,699,717,730
693,699,717,730,727
699,717,730,727,727
717,730,727,727,712
730,727,727,712,703
727,727,712,703,691
727,712,703,691,677
712,703,691,677,639
703,691,677,639,639
691,677,639,639,607
677,639,639,607,571
639,639,607,571,537
639,607,571,537,499
607,571,537,499,468
571,537,499,468,468
537,499,468,468,417
499,468,468,417,375
468,468,417,375,356
468,417,375,356,328
417,375,356,328,294
375,356,328,294,294
356,328,294,294,255
328,294,294,255,234
294,294,255,234,221
294,255,234,221,208
255,234,221,208,170
234,221,208,170,170
221,208,170,170,167
208,170,170,167,163
170,170,167,163,160
170,167,163,160,153
167,163,160,153,151
163,160,153,151,151
160,153,151,151,160
153,151,151,160,165
151,151,160,165,183
151,160,165,183,200
160,165,183,200,221
165,183,200,221,221
183,200,221,221,230
200,221,221,230,240
221,221,230,240,262
221,230,240,262,276
230,240,262,276,292
240,262,276,292,292
262,276,292,292,291
276,292,292,291,302
292,292,291,302,312
292,291,302,312,322
291,302,312,322,308
302,312,322,308,308
312,322,308,308,297
322,308,308,297,295
308,308,297,295,281
308,297,295,281,275
297,295,281,275,267
295,281,275,267,267
281,275,267,267,264
275,267,267,264,263
267,267,264,263,252
267,264,263,252,243
264,263,252,243,234
263,252,243,234,234
252,243,234,234,228
243,234,234,228,217
234,234,228,217,223
234,228,217,223,223
228,217,223,223,229
217,223,223,229,229
223,223,229,229,235
223,229,229,235,236
229,229,235,236,251
229,235,236,251,266
235,236,251,266,287
236,251,266,287,287
251,266,287,287,311
266,287,287,311,311
287,287,311,311,316
287,311,311,316,325
311,311,316,325,309
311,316,325,309,309
316,325,309,309,303
325,309,309,303,300
309,309,303,300,245
309,303,300,245,185
303,300,245,185,163
300,245,185,163,163
245,185,163,163,132
185,163,163,132,67
163,163,132,67,47
