X1,X2,X3,X4,X5
1191,1198,1214,1233,1233
1198,1214,1233,1233,1223
1214,1233,1233,1223,1225
1233,1233,1223,1225,1220
1233,1223,1225,1220,1219
1223,1225,1220,1219,1218
1225,1220,1219,1218,1218
1220,1219,1218,1218,1212
1219,1218,1218,1212,1216
1218,1218,1212,1216,1215
1218,1212,1216,1215,1210
1212,1216,1215,1210,1224
1216,1215,1210,1224,1224
1215,1210,1224,1224,1223
1210,1224,1224,1223,1220
1224,1224,1223,1220,1219
1224,1223,1220,1219,1216
1223,1220,1219,1216,1217
1220,1219,1216,1217,1217
1219,1216,1217,1217,1205
1216,1217,1217,1205,1193
1217,1217,1205,1193,1189
1217,1205,1193,1189,1201
1205,1193,1189,1201,1192
1193,1189,1201,1192,1192
1189,1201,1192,1192,1180
1201,1192,1192,1180,1171
1192,1192,1180,1171,1173
1192,1180,1171,1173,1165
1180,1171,1173,1165,1157
1171,1173,1165,1157,1156
1173,1165,1157,1156,1164
1165,1157,1156,1164,1149
1157,1156,1164,1149,1149
1156,1164,1149,1149,1150
1164,1149,1149,1150,1125
1149,1149,1150,1125,1125
1149,1150,1125,1125,1116
1150,1125,1125,1116,1111
1125,1125,1116,1111,1110
1125,1116,1111,1110,1117
1116,1111,1110,1117,1090
1111,1110,1117,1090,1090
1110,1117,1090,1090,1077
1117,1090,1090,1077,1068
1090,1090,1077,1068,1059
1090,1077,1068,1059,1052
1077,1068,1059,1052,1046
1068,1059,1052,1046,1031
1059,1052,1046,1031,1025
1052,1046,1031,1025,1012
1046,1031,1025,1012,1021
1031,1025,1012,1021,1021
1025,1012,1021,1021,1013
1012,1021,1021,1013,1002
1021,1021,1013,1002,999
1021,1013,1002,999,992
1013,1002,999,992,989
1002,999,992,989,989
999,992,989,989,987
992,989,989,987,994
989,989,987,994,1002
989,987,994,1002,1005
987,994,1002,1005,1018
994,1002,1005,1018,1018
1002,1005,1018,1018,1026
1005,1018,1018,1026,1031
1018,1018,1026,1031,1037
1018,1026,1031,1037,1030
1026,1031,1037,1030,1033
1031,1037,1030,1033,1033
1037,1030,1033,1033,1033
1030,1033,1033,1033,1046
1033,1033,1033,1046,1053
1033,1033,1046,1053,1054
1033,1046,1053,1054,1070
1046,1053,1054,1070,1070
1053,1054,1070,1070,1074
1054,1070,1070,1074,1069
1070,1070,1074,1069,1071
